source_row,model,ground_truth_valid,noise_free,template_frequency,template_failure,identical_structures,rare_N=1,filtered_N=1,rare_N<5,filtered_N<5,rare_N<10,filtered_N<10
369,gemini-3.6-flash-high,False,0,4913,0,0,0,0,0,0,0,0
370,gemini-3.6-flash-high,False,0,2,1,0,0,1,1,1,1,1
371,gemini-3.6-flash-high,True,1,62123,0,0,0,0,0,0,0,0
372,gemini-3.6-flash-high,True,1,24822,0,0,0,0,0,0,0,0
373,gemini-3.6-flash-high,False,0,24822,1,0,0,1,0,1,0,1
374,gemini-3.6-flash-high,False,0,993,1,0,0,1,0,1,0,1
375,gemini-3.6-flash-high,False,0,1132,0,0,0,0,0,0,0,0
376,gemini-3.6-flash-high,False,0,2,1,0,0,1,1,1,1,1
377,gemini-3.6-flash-high,True,1,33,0,0,0,0,0,0,0,0
378,gemini-3.6-flash-high,False,0,21896,0,0,0,0,0,0,0,0
379,gemini-3.6-flash-high,True,1,2042,0,0,0,0,0,0,0,0
380,gemini-3.6-flash-high,False,0,45357,1,0,0,1,0,1,0,1
381,gemini-3.6-flash-high,False,0,45357,0,0,0,0,0,0,0,0
382,gemini-3.6-flash-high,False,0,631,0,0,0,0,0,0,0,0
383,gemini-3.6-flash-high,True,1,35,1,0,0,1,0,1,0,1
384,gemini-3.6-flash-high,False,0,4,0,0,0,0,1,1,1,1
385,gemini-3.6-flash-high,True,1,2042,0,0,0,0,0,0,0,0
386,gemini-3.6-flash-high,True,1,2281,0,0,0,0,0,0,0,0
387,gemini-3.6-flash-high,True,1,123,0,0,0,0,0,0,0,0
388,gemini-3.6-flash-high,False,0,5824,0,0,0,0,0,0,0,0
389,gemini-3.6-flash-high,False,0,74,1,0,0,1,0,1,0,1
390,gemini-3.6-flash-high,False,0,62123,0,0,0,0,0,0,0,0
391,gemini-3.6-flash-high,False,0,13707,0,0,0,0,0,0,0,0
392,gemini-3.6-flash-high,True,1,1219,0,0,0,0,0,0,0,0
393,gemini-3.6-flash-high,False,0,42543,1,0,0,1,0,1,0,1
394,gemini-3.6-flash-high,False,0,62123,0,0,0,0,0,0,0,0
395,gemini-3.6-flash-high,False,0,62123,1,0,0,1,0,1,0,1
396,gemini-3.6-flash-high,True,1,436,0,0,0,0,0,0,0,0
397,gemini-3.6-flash-high,True,1,275,0,0,0,0,0,0,0,0
398,gemini-3.6-flash-high,False,0,93,0,0,0,0,0,0,0,0
399,gemini-3.6-flash-high,False,0,294,0,0,0,0,0,0,0,0
